Statement Parser 2 Failure Analysis [host = bheema, date = 2018-10-16]
Summary
Total Attempts - 25850
SP2 failure - 1229 times
When SP2 failed - SP1 succeeded 311 times, failed 829 times, unknown status (timed out?) 89 times
Nature of SP2 failure - Total: 1229, Unidentified: 901, Unimplemented: 0, Parser Failure: 319, Itemizer Failure: 0, Tabula Failure: 2, Internal Error: 1, Others: 6
Details
Data dir & files	Declared inst_id	SP2 Failure	SP1 Result
60437072 Image Statement	268	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_INST This institution is not supported yet.
60440592 Image Statement Password	255	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_INST This institution is not supported yet.
60445892 Image Statement	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60448302 Image Statement	52	SP2 Parser failure	SP1 succeeded
60451192 Image Statement	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60452822 Duplicate	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60452992 Duplicate	9	SP2 Parser failure	SP1 succeeded
60453432 Image Statement	2	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60453772 Image Statement Password	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60456132 Image Statement	4	Unidentified	SP1 succeeded
60456362 Image Statement Password	81	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60457652 Image Statement	31	Unidentified	SP1 possibly timed out
60457842 Image Statement	51	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60458032 Duplicate	31	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60458672 Duplicate	45	Unidentified	SP1 succeeded
60462832 Duplicate	17	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60465092 Duplicate	9	SP2 Parser failure	SP1 succeeded
60465312 Image Statement	83	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60465942 Image Statement Password	24	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60470362 Duplicate	83	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60472712 Duplicate	9	SP2 Parser failure	SP1 succeeded
60474712 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60474882 Statement	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60478352 Image Statement Password	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60479822 Image Statement	20	Unidentified	SP1 succeeded
60480322 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60480602 Image Statement	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60481402 Duplicate	44	Unidentified	SP1 possibly timed out
60482262 Image Statement	43	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60484172 Duplicate	20	Unidentified	SP1 succeeded
60486362 Image Statement	12	SP2 Parser failure	SP1 succeeded
60486712 Image Statement Password	9	Unidentified	SP1 succeeded
60486902 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60487042 Statement	44	Unidentified	SP1 possibly timed out
60488162 Image Statement	4	SP2 Parser failure	SP1 succeeded
60489502 Duplicate	4	SP2 Parser failure	SP1 succeeded
60489582 Duplicate	4	SP2 Parser failure	SP1 succeeded
60489662 Image Statement	20	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60489732 Duplicate	4	SP2 Parser failure	SP1 succeeded
60490272 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60490342 Image Statement	32	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60490552 Duplicate	32	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60492122 Duplicate	44	Unidentified	SP1 succeeded
60494492 Image Statement	81	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order - reverseSort, lastXnDate[2018-09-30] and currXnDate[2018-09-29]
60496662 Duplicate	81	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order - reverseSort, lastXnDate[2018-06-30] and currXnDate[2018-06-29]
60498492 Duplicate	81	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order - reverseSort, lastXnDate[2018-06-30] and currXnDate[2018-06-29]
60498742 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60499232 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60500222 Duplicate	8	Unidentified	SP1 succeeded
60501082 Duplicate	4	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60501792 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60502102 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60502312 Image Statement	25	Unidentified	SP1 succeeded
60503142 Duplicate	30	Unidentified	SP1 possibly timed out
60505172 Duplicate	9	SP2 Parser failure	SP1 succeeded
60506472 Duplicate	43	SP2 Parser failure	SP1 possibly timed out
60506742 Image Statement	81	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order - reverseSort, lastXnDate[2018-04-12] and currXnDate[2018-04-11]
60509162 Duplicate	2	SP2 Parser failure	SP1 succeeded
60510102 Image Statement	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60510372 Duplicate	42	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60513702 Image Statement	161	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60514592 Duplicate	161	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60514702 Duplicate	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60514872 Duplicate	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60516442 Image Statement Password	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60516562 Image Statement Password	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60517992 Image Statement	43	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60519582 Image Statement	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60520062 Image Statement	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60520842 Duplicate	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60521022 Duplicate	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60521542 Image Statement	8	Unidentified	SP1 possibly timed out
60522802 Duplicate	2	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60524052 Duplicate	30	Unidentified	SP1 succeeded
60524702 Duplicate	23	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60527022 Duplicate	15	SP2 Parser failure	SP1 succeeded
60527752 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60529632 Duplicate	50	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date gap more than 10 days, date [2020-04-01] dateGap [533] for xn [2020-04-01,\N,18 B/F... 31.35SALARY A/C REAL TIME HR,0.00,18537.00]
60532222 Image Statement	22		SP1 succeeded
60534962 Duplicate	12	Unidentified	SP1 succeeded
60536732 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60537132 Duplicate	32	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60537992 Image Statement	51	Unidentified	SP1 succeeded
60538042 Image Statement	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60539592 Image Statement	20	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60539872 Image Statement	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60539952 Statement	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60542912 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543372 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543492 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60546032 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60546082 Image Statement	2	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60547242 Image Statement Password	2	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60550472 Image Statement	30	Unidentified	SP1 possibly timed out
60552022 Image Statement Password	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60292203 Duplicate	20	Unidentified	SP1 succeeded
60395193 Image Statement Password	10	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60396723 Statement Password	2	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60405353 Image Statement Password	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60405373 Image Statement	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60408223 Image Statement	268	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_INST This institution is not supported yet.
60413453 Image Statement Password	30	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60416233 Image Statement	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60416383 Duplicate	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60417513 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60419453 Duplicate	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60421953 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60422913 Image Statement	29	Unidentified	SP1 possibly timed out
60424773 Image Statement	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60425053 Image Statement Password	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60427283 Image Statement Password	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60427703 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60430463 Image Statement	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60433773 Image Statement	23	Unidentified	SP1 succeeded
60433933 Duplicate	23	Unidentified	SP1 succeeded
60434563 Statement Password	10	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60434743 Duplicate	20	Unidentified	SP1 succeeded
60435683 Image Statement	35		SP1 succeeded
60435963 Image Statement	76	Unidentified	SP1 succeeded
60436023 Image Statement	76	Unidentified	SP1 succeeded
60438483 Duplicate	21	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60439353 Image Statement Password	4	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60439563 Duplicate	4	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60440483 Image Statement Password	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60443183 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60444083 Duplicate	20	Unidentified	SP1 succeeded
60444963 Image Statement	140	SP2 Parser failure	SP1 succeeded
60445533 Duplicate	20	Unidentified	SP1 succeeded
60445893 Image Statement	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60446963 Statement	14	Unidentified	SP1 succeeded
60448703 Image Statement Password	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60451483 Image Statement	16	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60451493 Image Statement	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60451933 Duplicate	23	Unidentified	SP1 succeeded
60452073 Duplicate	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60453293 Image Statement Password	23	Unidentified	SP1 succeeded
60453533 Image Statement	30	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60453643 Duplicate	23	Unidentified	SP1 succeeded
60454293 Duplicate	23	Unidentified	SP1 succeeded
60455453 Duplicate	44	Unidentified	SP1 possibly timed out
60456543 Image Statement	9	Unidentified	SP1 succeeded
60457773 Duplicate	31	Unidentified	SP1 possibly timed out
60458483 Image Statement	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60460233 Image Statement	35	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT HTML File (from netbanking) converted to PDF and uploaded. Does not support such statement.
60460393 Image Statement Password	20	SP2 Parser failure	SP1 succeeded
60460783 Image Statement	4	Unidentified	SP1 succeeded
60462823 Image Statement	17	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60463293 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60464123 Duplicate	20	Unidentified	SP1 succeeded
60464973 Image Statement Password	45	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60465403 Statement	15	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60471503 Duplicate	8	Unidentified	SP1 succeeded
60472133 Duplicate	9	SP2 Parser failure	SP1 succeeded
60474223 Image Statement Password	45	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60475353 Duplicate	20	Unidentified	SP1 succeeded
60475403 Image Statement	42	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT HTML File (from netbanking) converted to PDF and uploaded. Does not support such statement.
60478323 Duplicate	44	Unidentified	SP1 possibly timed out
60478813 Duplicate	8	SP2 Parser failure	SP1 succeeded
60484193 Duplicate	12	SP2 Parser failure	SP1 succeeded
60486483 Duplicate	22	Unidentified	SP1 succeeded
60486753 Image Statement	12	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60488273 Image Statement	4	SP2 Parser failure	SP1 succeeded
60488333 Statement Password	10	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60488783 Duplicate	14	Unidentified	SP1 succeeded
60489173 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60490213 Image Statement	17	Unidentified	SP1 succeeded
60490343 Image Statement	32	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60490553 Duplicate	32	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60490853 Image Statement	198	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60492343 Duplicate	9	Unidentified	SP1 succeeded
60492743 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60494333 Duplicate	15	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order, lastXnDate[2018-08-15] currXnDate[2018-08-14] nextXnDate[2018-08-16]
60495143 Duplicate	81	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order - reverseSort, lastXnDate[2018-09-30] and currXnDate[2018-09-29]
60496473 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60496823 Duplicate	22	SP2 Parser failure	SP1 succeeded
60497443 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60497913 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60498663 Duplicate	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60500133 Image Statement	15	Unidentified	SP1 possibly timed out
60500913 Duplicate	15	Unidentified	SP1 possibly timed out
60501093 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60502663 Image Statement	45	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60503193 Duplicate	4	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60504103 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60505073 Image Statement	9	SP2 Parser failure	SP1 succeeded
60505403 Image Statement Password	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Invalid xn 2018-07-61,\N,.Int.Coll.01-0 j" \, 3 86\,595.00 90\,79\,839.50or i i \, 30130500000003:Int.Coll:01-07-2018 to 31-07-2018,50000.00,-9129839.5
60506013 Image Statement	19	SP2 Parser failure	SP1 possibly timed out
60508293 Duplicate	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60509013 Image Statement Password	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60509623 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60509753 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60511343 Image Statement	8	SP2 Parser failure	SP1 succeeded
60511543 Image Statement Password	44	SP2 Parser failure	SP1 succeeded
60513793 Image Statement	161	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60514013 Duplicate	44	Unidentified	SP1 succeeded
60514953 Duplicate	140	Unidentified	SP1 succeeded
60515363 Duplicate	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60515673 Duplicate	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60515803 Duplicate	161	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60516033 Duplicate	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60517693 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60517733 Duplicate	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60519063 Statement Password	20	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60520173 Duplicate	12	Unidentified	SP1 succeeded
60521873 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60522313 Image Statement	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60522453 Image Statement	22	SP2 Parser failure	SP1 possibly timed out
60523083 Image Statement	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60524443 Duplicate	30	Unidentified	SP1 succeeded
60524483 Image Statement	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60525403 Image Statement Password	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60526583 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60526613 Duplicate	15	SP2 Parser failure	SP1 succeeded
60527553 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60528423 Image Statement	35	SP2 Tabula failure	SP1 succeeded
60529333 Duplicate	50	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date gap more than 10 days, date [2020-04-01] dateGap [533] for xn [2020-04-01,\N,18 B/F... 31.35SALARY A/C REAL TIME HR,0.00,18537.00]
60529923 Duplicate	50	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date gap more than 10 days, date [2020-04-01] dateGap [533] for xn [2020-04-01,\N,18 B/F... 31.35SALARY A/C REAL TIME HR,0.00,18537.00]
60536483 Image Statement Password	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60537133 Duplicate	32	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60537833 Image Statement Password	12	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60539953 Statement	35	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT We donot support statements of this type.
60541863 Image Statement	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543143 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543423 Image Statement	35	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_NO_TRANSACTIONS Looks like the statement does not contain any transactions. Please upload a valid statement
60543643 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543693 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543753 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60544053 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60545583 Image Statement Password	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60546813 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60548163 Duplicate	11	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60549363 Image Statement	268	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_INST This institution is not supported yet.
60550073 Statement Password	140	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60551613 Image Statement	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60551973 Image Statement	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60394674 Image Statement Password	267	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_INST This institution is not supported yet.
60398684 Image Statement	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60405174 Image Statement	43	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60408554 Image Statement Password	23	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60411384 Image Statement	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60419394 Duplicate	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60424684 Image Statement	10	Unidentified	SP1 succeeded
60427054 Duplicate	11	Unidentified	SP1 possibly timed out
60427614 Image Statement	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60429924 Duplicate	154	SP2 Parser failure	SP1 succeeded
60430454 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60434234 Image Statement	23	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60434404 Duplicate	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60434594 Duplicate	10	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60435964 Image Statement	76	Unidentified	SP1 succeeded
60436424 Statement	22	Unidentified	SP1 possibly timed out
60437804 Image Statement	11	Unidentified	SP1 possibly timed out
60438674 Duplicate	21	Unidentified	SP1 possibly timed out
60441584 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60452094 Image Statement Password	9	SP2 Parser failure	SP1 succeeded
60452234 Image Statement	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60452264 Image Statement	17	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60452714 Duplicate	9	SP2 Parser failure	SP1 succeeded
60453564 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60455154 Image Statement Password	44	Unidentified	SP1 possibly timed out
60456024 Duplicate	31	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60456924 Image Statement Password	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60457884 Duplicate	20	Unidentified	SP1 succeeded
60459364 Duplicate	20	SP2 Parser failure	SP1 succeeded
60462594 Image Statement	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60465594 Statement	8	SP2 Parser failure	SP1 succeeded
60465634 Image Statement	103	Unidentified	SP1 succeeded
60466654 Image Statement	20	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60467404 Image Statement	20	SP2 Parser failure	SP1 possibly timed out
60468424 Image Statement	15	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60471264 Image Statement	8	Unidentified	SP1 succeeded
60472804 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60475554 Image Statement	42	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT HTML File (from netbanking) converted to PDF and uploaded. Does not support such statement.
60478514 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60480914 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60483184 Image Statement Password	45	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60483994 Duplicate	12	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60484144 Image Statement	12	SP2 Parser failure	SP1 succeeded
60484484 Duplicate	12	SP2 Parser failure	SP1 succeeded
60486924 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60487304 Duplicate	12	SP2 Parser failure	SP1 succeeded
60488274 Statement Password	10	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60489704 Image Statement	45	Unidentified	SP1 succeeded
60489934 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60490344 Image Statement	32	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60490554 Duplicate	32	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60493094 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60496034 Duplicate	8	Unidentified	SP1 succeeded
60496474 Image Statement	22	SP2 Parser failure	SP1 succeeded
60497544 Image Statement	2	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60498574 Duplicate	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60498674 Duplicate	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60499234 Image Statement	8	Unidentified	SP1 possibly timed out
60501114 Image Statement	35	SP2 Parser failure	SP1 succeeded
60502154 Image Statement	50	Unidentified	SP1 succeeded
60503754 Duplicate	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60504184 Image Statement Password	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
